RunNr,RunType,HitscoreThreshold,MultiscoreThreshold,PhotonEnergyEV,PnCCDRescaleQ1AC0,PnCCDRescaleQ1AC1,PnCCDRescaleQ1AC2,PnCCDRescaleQ1AC3,PnCCDDX,PnCCDDY,PnCCDYGAP
1,Void,-1,-1,-1,1,1,1,1,42,-3,12
2,Void,-1,-1,-1,1,1,1,1,42,-3,12
3,Cluster,-1,-1,-1,1,1,1,1,42,-3,12
4,Cluster,-1,-1,-1,1,1,1,1,42,-3,12
5,Dark,-1,-1,-1,1,1,1,1,42,-3,12
6,Void,-1,-1,-1,1,1,1,1,42,-3,12
7,Dark,-1,-1,-1,1,1,1,1,42,-3,12
8,Cluster,-1,-1,-1,1,1,1,1,42,-3,12
9,Cluster,-1,-1,-1,1,1,1,1,42,-3,12
10,Cluster,-1,-1,-1,1,1,1,1,42,-3,12
11,Cluster,-1,-1,-1,1,1,1,1,42,-3,12
12,Cluster,-1,-1,-1,1,1,1,1,42,-3,12
13,Void,-1,-1,-1,1,1,1,1,42,-3,12
14,Cluster,-1,-1,-1,1,1,1,1,42,-3,12
15,Cluster,-1,-1,-1,1,1,1,1,42,-3,12
16,Sample,-1,-1,-1,1,1,1,1,42,-3,12
17,Sample,-1,-1,-1,1,1,1,1,42,-3,12
18,Sample,-1,-1,-1,1,1,1,1,42,-3,12
19,Sample,-1,-1,-1,1,1,1,1,42,-3,12
20,Sample,-1,-1,-1,1,1,1,1,42,-3,12
21,Sample,-1,-1,-1,1,1,1,1,42,-3,12
22,Sample,-1,-1,-1,1,1,1,1,42,-3,12
23,Void,-1,-1,-1,1,1,1,1,42,-3,12
24,Dark,-1,-1,-1,1,1,1,1,42,-3,0
25,Dark,-1,-1,-1,1,1,1,1,42,-3,0
26,Sample,-1,-1,-1,1,1,1,1,42,-3,12
27,Sample,-1,-1,-1,1,1,1,1,42,-3,12
28,Sample,-1,-1,-1,1,1,1,1,42,-3,12
29,Void,-1,-1,-1,1,1,1,1,42,-3,12
30,Dark,-1,-1,-1,1,1,1,1,42,-3,12
31,Dark,-1,-1,-1,1,1,1,1,42,-3,12
32,Sample,-1,-1,-1,1,1,1,1,42,-3,12
33,Dark,-1,-1,-1,1,1,1,1,42,-3,12
34,Sample,-1,-1,-1,1,1,1,1,42,-3,12
35,Sample,-1,-1,-1,1,1,1,1,42,-3,12
36,Sample,-1,-1,-1,1,1,1,1,42,-3,12
37,Sample,-1,-1,-1,1,1,1,1,42,-3,12
38,Holography,-1,-1,-1,1,1,1,1,42,-3,12
39,Holography,-1,-1,-1,1,1,1,1,42,-3,12
40,Cluster,-1,-1,-1,1,1,1,1,42,-3,12
41,Water,-1,-1,-1,1,1,1,1,42,-3,12
42,Void,-1,-1,-1,1,1,1,1,42,-3,12
43,Void,-1,-1,-1,1,1,1,1,42,-3,12
44,Void,-1,-1,-1,1,1,1,1,42,-3,12
45,Void,-1,-1,-1,1,1,1,1,42,-3,12
46,Sample,-1,-1,-1,1,1,1,1,42,-3,12
47,Sample,-1,-1,-1,1,1,1,1,42,-3,12
48,Sample,-1,-1,-1,1,1,1,1,42,-3,12
49,Sample,-1,-1,-1,1,1,1,1,42,-3,12
50,Sample,-1,-1,-1,1,1,1,1,42,-3,12
51,Void,-1,-1,-1,1,1,1,1,42,-3,12
52,Sample,-1,-1,-1,1,1,1,1,42,-3,12
53,Sample,-1,-1,-1,1,1,1,1,42,-3,12
54,Void,-1,-1,-1,1,1,1,1,42,-3,12
55,Void,-1,-1,-1,1,1,1,1,42,-3,12
56,Sample,-1,-1,-1,1,1,1,1,42,-3,12
57,Sample,-1,-1,-1,1,1,1,1,42,-3,12
58,Sample,-1,-1,-1,1,1,1,1,42,-3,12
59,Void,-1,-1,-1,1,1,1,1,42,-3,12
60,Void,-1,-1,-1,1,1,1,1,42,-3,12
61,Holography,-1,-1,-1,1,1,1,1,42,-3,12
62,Holography,-1,-1,-1,1,1,1,1,42,-3,12
63,Holography,-1,-1,-1,1,1,1,1,42,-3,12
